Year, Month, Canada, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan, Newfoundland, 
2001, Jan, 48.5%, 45.4%, 51.3%, 41.1%, 46.4%, 50.4%, 47.7%, 48.7%, 46%, 
2001, Feb, 58.5%, 55.1%, 55.1%, 49.7%, 56.2%, 59.7%, 60.1%, 58%, 57.9%, 
2001, Mar, 62%, 63.9%, 59.4%, 56.3%, 63.9%, 60.6%, 59.9%, 62.6%, 61%, 
2001, Apr, 60.1%, 60.1%, 55%, 52.3%, 61.5%, 61.4%, 58%, 58.6%, 55.6%, 
2001, May, 65.2%, 62.9%, 58.3%, 57.5%, 70.4%, 66.6%, 68.9%, 60.5%, 67.2%, 
2001, Jun, 71.9%, 67.9%, 68.2%, 63.7%, 81.2%, 73.6%, 76.3%, 63.1%, 81.9%, 
2001, Jul, 74%, 74.9%, 64%, 76.8%, 85.6%, 72%, 76.5%, 59.2%, 76.7%, 
2001, Aug, 78.6%, 79.5%, 61.6%, 77.6%, 90.2%, 77.3%, 83.4%, 67.2%, 77.5%, 
2001, Sep, 66.7%, 64.1%, 60.2%, 70.3%, 82.6%, 66.8%, 70.3%, 56%, 73.7%, 
2001, Oct, 61.4%, 51.2%, 63.5%, 59%, 74.6%, 64.8%, 66.2%, 62%, 65%, 
2001, Nov, 55.2%, 45%, 63.1%, 53.3%, 61.5%, 57.4%, 56.3%, 66.5%, 60.4%, 
2001, Dec, 42.7%, 41.6%, 44.8%, 35.3%, 39.4%, 41.8%, 44.9%, 45.5%, 39.8%, 
2002, Jan, 46.2%, 43.5%, 45.2%, 39.4%, 43%, 47.3%, 45.4%, 48.2%, 45%, 
2002, Feb, 56.7%, 54.7%, 60.4%, 52.4%, 54.9%, 56.4%, 57.3%, 56.3%, 53.1%, 
2002, Mar, 57.9%, 58.9%, 59.7%, 52.3%, 61.5%, 61.4%, 58%, 59.3%, 55.6%, 
2002, Apr, 60.8%, 58.8%, 60.3%, 55.4%, 62.1%, 61.2%, 59.4%, 59.6%, 61.4%, 
2002, May, 64.1%, 61.8%, 64.9%, 60.6%, 72.9%, 62.7%, 69%, 59.7%, 65.5%, 
2002, Jun, 71.3%, 67.7%, 69.1%, 66%, 80.7%, 70.4%, 77%, 64%, 73.5%, 
2002, Jul, 73.6%, 74.2%, 62.1%, 82.9%, 87.1%, 71.2%, 76.6%, 60.2%, 79%, 
2002, Aug, 78.1%, 79.9%, 64.9%, 85%, 92.5%, 74.9%, 84.5%, 67.5%, 81.3%, 
2002, Sep, 70.8%, 67.2%, 63.3%, 69.8%, 87.2%, 71.5%, 74.4%, 61.8%, 75%, 
2002, Oct, 64.6%, 56.4%, 61%, 61.3%, 73.8%, 66.8%, 73.2%, 64%, 68.7%, 
2002, Nov, 56.5%, 45.9%, 59.8%, 53.9%, 61.4%, 60.2%, 56.6%, 62%, 59.9%, 
2002, Dec, 42.8%, 42.5%, 43.4%, 35.5%, 39.9%, 42.5%, 45.2%, 41.6%, 38.1%, 
2003, Jan, 46.8%, 44.1%, 45.2%, 39.3%, 43.7%, 49%, 47.2%, 50.5%, 40.2%, 
2003, Feb, 56.6%, 54.3%, 55.4%, 52.2%, 53.7%, 57.1%, 58.4%, 57.4%, 56.7%, 
2003, Mar, 56.6%, 56.8%, 56.5%, 56.5%, 63.6%, 54.9%, 55.4%, 59.1%, 53.7%, 
2003, Apr, 53.4%, 55.7%, 61.6%, 53%, 58.9%, 49.1%, 54.4%, 54.8%, 55.5%, 
2003, May, 57.4%, 60.2%, 60.9%, 52.7%, 69.1%, 52.4%, 63.3%, 59.7%, 64.3%, 
2003, Jun, 63%, 62.6%, 67.7%, 62.6%, 77.3%, 57.7%, 71.9%, 63%, 74.9%, 
2003, Jul, 66.3%, 71.2%, 66.4%, 75.9%, 82.7%, 60.1%, 67.4%, 56.1%, 80%, 
2003, Aug, 72.4%, 79.2%, 65%, 80.5%, 88.9%, 67.1%, 76.1%, 64.3%, 81.2%, 
2003, Sep, 67.2%, 66.8%, 58.8%, 68.6%, 82.9%, 67%, 69.3%, 60.4%, 78%, 
2003, Oct, 63.8%, 56.7%, 61.3%, 59.9%, 77.3%, 66.4%, 69.6%, 61.8%, 73.5%, 
2003, Nov, 56.2%, 48.1%, 58.1%, 53.2%, 63.7%, 59.5%, 55.3%, 62.9%, 63.4%, 
2003, Dec, 43.7%, 43.9%, 43.7%, 36.3%, 39%, 43.8%, 44.7%, 42.8%, 44.6%, 
