Year, Month, Greater Toronto Area, Downtown Toronto, Toronto Airport, GTA West, GTA East/North, London, Windsor, Niagara Falls, Other Niagara Region, Other Southern Ontario, 
2001, Jan, 55.8%, 49.1%, 73%, 60.3%, 49.5%, 48.6%, 55.2%, 25%, 36.5%, 40.5%, 
2001, Feb, 63.3%, 60.8%, 75.6%, 63.5%, 57.4%, 55.4%, 57.2%, 34.4%, 53.6%, 46.6%, 
2001, Mar, 63.9%, 65.2%, 70.3%, 62.4%, 57.5%, 55.6%, 74.9%, 43.2%, 51.3%, 47.3%, 
2001, Apr, 68.7%, 71.8%, 70.8%, 67%, 62.9%, 57.7%, 58.5%, 48.7%, 48.6%, 47.1%, 
2001, May, 70.8%, 74.3%, 68.1%, 68.5%, 69.1%, 60.3%, 61.4%, 61.4%, 51.2%, 56.2%, 
2001, Jun, 76.7%, 83.7%, 70%, 73.6%, 73.3%, 66.6%, 70.2%, 76.6%, 59.5%, 64.4%, 
2001, Jul, 72.5%, 78.6%, 61.3%, 72.3%, 72.2%, 55.5%, 66.7%, 88.8%, 68.9%, 62.1%, 
2001, Aug, 77.9%, 79.4%, 72.8%, 78.2%, 79.1%, 68.2%, 68%, 91.6%, 74.2%, 67.1%, 
2001, Sep, 65.8%, 68.4%, 62.6%, 66.1%, 64.2%, 65.1%, 53.3%, 64%, 63.2%, 60.8%, 
2001, Oct, 66.5%, 72.8%, 62.9%, 63.8%, 61.2%, 59.5%, 51.5%, 55.9%, 60.8%, 48.8%, 
2001, Nov, 61.3%, 66.6%, 60.2%, 57.4%, 56.3%, 61%, 53.5%, 38.3%, 56.1%, 43.7%, 
2001, Dec, 43.6%, 42.7%, 43%, 45.6%, 44%, 41.7%, 46.6%, 28.8%, 37.8%, 36.7%, 
2002, Jan, 51.8%, 47.2%, 66.5%, 53.8%, 45.5%, 47.5%, 52.5%, 25.5%, 36.4%, 38.8%, 
2002, Feb, 59.1%, 60%, 65.9%, 56.4%, 53.6%, 58.8%, 58.3%, 39.1%, 42.7%, 45.9%, 
2002, Mar, 68.7%, 71.8%, 70.8%, 67%, 62.9%, 57.7%, 58.5%, 48.7%, 48.6%, 47.1%, 
2002, Apr, 66%, 69.8%, 68.2%, 64.7%, 58.6%, 62.4%, 66.2%, 46.5%, 45.7%, 50.8%, 
2002, May, 64.3%, 67.3%, 66.1%, 61.4%, 60.1%, 56%, 69.4%, 59.3%, 49.8%, 56.9%, 
2002, Jun, 71.6%, 78.3%, 67.4%, 68.7%, 66.7%, 59.5%, 70.4%, 75.2%, 55.8%, 60.5%, 
2002, Jul, 71.4%, 74.5%, 67.4%, 73.2%, 68.9%, 56.8%, 66.2%, 88.4%, 71%, 65.5%, 
2002, Aug, 74.3%, 77.2%, 72.2%, 73.4%, 72.2%, 64.2%, 72.6%, 92.1%, 74.2%, 70.4%, 
2002, Sep, 71.7%, 80.2%, 64.8%, 67.8%, 66.4%, 71.6%, 63.7%, 76.8%, 64.2%, 59%, 
2002, Oct, 68%, 75.3%, 64.4%, 65.2%, 61.6%, 61.3%, 62.8%, 67.5%, 56.4%, 54.1%, 
2002, Nov, 66.3%, 77.6%, 63.1%, 57.8%, 57.3%, 58.9%, 60.6%, 42.3%, 44.1%, 47.2%, 
2002, Dec, 45%, 44.7%, 46.6%, 46.7%, 43.1%, 42.3%, 49.8%, 30.7%, 36.1%, 38.3%, 
2003, Jan, 54.3%, 53%, 70.1%, 54.8%, 44.2%, 49.2%, 55%, 25.8%, 33.2%, 36.6%, 
2003, Feb, 59.5%, 59%, 71.8%, 58.3%, 52.1%, 58.6%, 57.1%, 40.4%, 45.9%, 43.9%, 
2003, Mar, 56.4%, 59.7%, 59.3%, 53.9%, 50.1%, 56.1%, 67.7%, 40.6%, 42.5%, 46%, 
2003, Apr, 47%, 42.9%, 51.8%, 53.3%, 45.5%, 56.3%, 54.3%, 39%, 41.2%, 44.4%, 
2003, May, 46.6%, 45.4%, 50.4%, 46%, 46%, 55.7%, 57.1%, 47%, 56%, 48.8%, 
2003, Jun, 52.3%, 54.6%, 50.7%, 54.2%, 48.9%, 55%, 66.3%, 58%, 54.3%, 50.4%, 
2003, Jul, 56.4%, 57.7%, 55.2%, 58.3%, 53.9%, 56.7%, 60.5%, 72.1%, 54.5%, 59.7%, 
2003, Aug, 64.9%, 66.6%, 66.7%, 64.8%, 61.5%, 59.1%, 64.6%, 82.8%, 66.7%, 67.1%, 
2003, Sep, 68.8%, 72.2%, 70.8%, 69%, 61.7%, 70.7%, 54.9%, 62.5%, 57.5%, 56.2%, 
2003, Oct, 69.7%, 74.2%, 73.5%, 67%, 61.9%, 68.5%, 57.7%, 57.5%, 60.5%, 52.2%, 
2003, Nov, 67.2%, 74.7%, 70%, 59.8%, 58.2%, 63.3%, 54.8%, 39.9%, 40.3%, 41.7%, 
2003, Dec, 48.7%, 48.9%, 54%, 47.7%, 45.7%, 45.3%, 43.9%, 32.5%, 30.4%, 33.5%, 
2004, Jan, 54.4%, 52.4%, 73%, 53.9%, 45.8%, 55.1%, 50.4%, 28.4%, 27.2%, 35.4%, 
2004, Feb, 59.3%, 58.7%, 74.8%, 56.8%, 51.4%, 61.6%, 54.3%, 32.7%, 34.7%, 42.3%, 
2004, Mar, 60%, 65%, 67.7%, 54.2%, 50.9%, 63.4%, 66.8%, 38.2%, 39.4%, 47%, 
2004, Apr, 63.8%, 68.1%, 70.6%, 60.8%, 54.7%, 61.7%, 51.3%, 47.1%, 39.8%, 46.4%, 
2004, May, 66%, 73.8%, 70%, 62.4%, 54.8%, 61.2%, 51.7%, 57.2%, 47%, 52.6%, 
2004, Jun, 68.8%, 76.2%, 68.1%, 65.2%, 61.3%, 68.6%, 58.8%, 73.9%, 51.5%, 57.4%, 
2004, Jul, 70%, 76.8%, 67.9%, 64.7%, 65%, 62.3%, 62%, 85.9%, 64%, 60.8%, 
2004, Aug, 73.1%, 79.6%, 73.9%, 67.8%, 67.1%, 62.3%, 55.4%, 85.8%, 63.4%, 64.2%, 
2004, Sep, 77.2%, 84.4%, 75.1%, 72%, 69.9%, 67%, 53.5%, 75.5%, 55.5%, 54%, 
2004, Oct, 70.6%, 76.2%, 72.3%, 63.7%, 64.6%, 64.3%, 53.3%, 62.6%, 47.5%, 46.5%, 
2004, Nov, 67.6%, 76.2%, 68.7%, 57.8%, 59.2%, 60.9%, 50.4%, 39.9%, 38.2%, 41.6%, 
2004, Dec, 47.8%, 46.8%, 54.6%, 46.5%, 45.2%, 43.8%, 38.6%, 30.2%, 35%, 35%, 
2005, Jan, 53.1%, 49.9%, 72.1%, 50.9%, 45.9%, 57.6%, 46.2%, 24.5%, 26.3%, 32.2%, 
2005, Feb, 60.5%, 58.9%, 75.4%, 58.2%, 53.9%, 59.2%, 47.7%, 33.3%, 34.7%, 38.4%, 
2005, Mar, 58.8%, 61.5%, 62%, 54.8%, 54.4%, 52.8%, 54.6%, 39%, 35.7%, 43.7%, 
2005, Apr, 67.9%, 69.4%, 72.4%, 64.8%, 63.9%, 69.2%, 54.7%, 46.3%, 37.6%, 39.4%, 
2005, May, 67.4%, 72.8%, 68.5%, 61.5%, 61.6%, 65.8%, 50.3%, 51.1%, 48.3%, 49.3%, 
2005, Jun, 76.5%, 83.6%, 74.9%, 69.5%, 71.1%, 68.1%, 56.2%, 75.1%, 52.1%, 52.2%, 
2005, Jul, 71.7%, 76.2%, 69.3%, 66.3%, 70%, 65.7%, 56.2%, 87.2%, 66.1%, 59.8%, 
2005, Aug, 72.9%, 77.8%, 70.5%, 65.7%, 72.4%, 61.4%, 57.1%, 87%, 62.3%, 61%, 
2005, Sep, 80.3%, 87.8%, 76.1%, 69.4%, 78.9%, 69.5%, 53.8%, 78.3%, 54.9%, 59.2%, 
2005, Oct, 70.5%, 76.9%, 68.9%, 61.6%, 67.4%, 64.5%, 55.1%, 65.3%, 48.2%, 50.1%, 
2005, Nov, 69.5%, 77.6%, 68.7%, 59%, 64.3%, 63.6%, 51.2%, 44%, 36.7%, 44.5%, 
2005, Dec, 49%, 49.2%, 52.4%, 47.5%, 46.7%, 47.7%, 40.3%, 35.3%, 32.1%, 37.6%, 
2006, Jan, 54%, 51.1%, 68.3%, 50.7%, 50.4%, 53.1%, 50.7%, 29.3%, 30.8%, 35.5%, 
2006, Feb, 61.3%, 59%, 73.8%, 57.7%, 57.5%, 64.2%, 57.1%, 38.6%, 38.3%, 41.9%, 
2006, Mar, 60.7%, 62.9%, 65.4%, 57.2%, 55.7%, 64.9%, 56.7%, 42.2%, 40.4%, 43.5%, 
2006, Apr, 64.8%, 67.1%, 67.8%, 61%, 61.4%, 64.4%, 52.8%, 50.6%, 45.1%, 45.1%, 
2006, May, 73.5%, 80.5%, 72.9%, 65.8%, 68%, 65.1%, 51.6%, 57.9%, 44.4%, 49.2%, 
2006, Jun, 71.5%, 78.1%, 71.9%, 66%, 65%, 65.3%, 50.8%, 76.2%, 54.3%, 53.1%, 
2006, Jul, 66.7%, 70.5%, 62.9%, 64.7%, 65.1%, 65.8%, 52.8%, 83.8%, 64.4%, 55.8%, 
2006, Aug, 75.8%, 79.7%, 74.4%, 70.2%, 75.5%, 61.4%, 54.6%, 89.2%, 67.5%, 60%, 
2006, Sep, 79.1%, 85.5%, 76.8%, 71.7%, 76.1%, 67.9%, 56.1%, 78.9%, 56.6%, 56.1%, 
2006, Oct, 70.6%, 76.3%, 70.6%, 62.2%, 67.3%, 67.2%, 53%, 68.1%, 50.2%, 50.1%, 
2006, Nov, 68.8%, 76.6%, 68.8%, 60.2%, 63%, 66.1%, 51.8%, 44.3%, 40%, 41.4%, 
2006, Dec, 48.3%, 49.1%, 51.8%, 46.6%, 45.5%, 44.6%, 43%, 37.1%, 30.8%, 36.7%, 
2007, Jan, 55.4%, 56%, 68.1%, 53.2%, 46.6%, 49.7%, 45.3%, 29.8%, 29.5%, 34.3%, 
2007, Feb, 61.6%, 62.2%, 74.5%, 58%, 53.9%, 59.7%, 46.6%, 34.1%, 41%, 37.6%, 
2007, Mar, 60.1%, 61.4%, 71.3%, 56.5%, 52.2%, 56.5%, 48.2%, 35.4%, 35.6%, 39.2%, 
2007, Apr, 62%, 64.3%, 68.1%, 58.4%, 56.5%, 60.8%, 49.8%, 48.7%, 43.2%, 40%, 
2007, May, 69.2%, 75.7%, 73.5%, 63.5%, 61.1%, 61.4%, 54.7%, 60.4%, 45.9%, 48.7%, 
2007, Jun, 74.2%, 83.5%, 73.3%, 69.1%, 64.9%, 65.3%, 56.2%, 76.8%, 56%, 54.1%, 
2007, Jul, 67.6%, 71.2%, 61.3%, 66.7%, 67.1%, 64.9%, 52.4%, 83.7%, 63.9%, 55.9%, 
2007, Aug, 73.9%, 77.3%, 70.6%, 70.6%, 73.5%, 61.8%, 57%, 88.5%, 70.3%, 64%, 
2007, Sep, 77.7%, 85.1%, 75.9%, 72%, 71.4%, 66.6%, 54.7%, 76.2%, 58.7%, 57.1%, 
2007, Oct, 72.7%, 78.7%, 70.6%, 68.8%, 67.5%, 61.4%, 49%, 61.4%, 52.2%, 50.6%, 
2007, Nov, 71.7%, 79.5%, 71.8%, 65.9%, 63.2%, 62.3%, 50.1%, 42.8%, 42.6%, 42.1%, 
2007, Dec, 66.7%, 70.9%, 69.4%, 62.8%, 60.9%, 60.4%, 50.9%, 57.1%, 48%, 47.2%, 
2008, Jan, 56.6%, 57.2%, 66.2%, 55.7%, 48.7%, 48.1%, 38.8%, 26.4%, 29.6%, 35.5%, 
2008, Feb, 61%, 61%, 69.6%, 60%, 55.3%, 56.7%, 41%, 33.5%, 38.1%, 40.5%, 
2008, Mar, 60.2%, 63%, 66%, 57.8%, 52.9%, 50.1%, 47.3%, 37.5%, 34.8%, 43%, 
2008, Apr, 66.7%, 70%, 68.9%, 65%, 61.1%, 60.5%, 49.5%, 44%, 40.9%, 48%, 
2008, May, 71.9%, 81.4%, 73.1%, 64.7%, 63.1%, 58.9%, 48.5%, 62.6%, 48.2%, 52.6%, 
2008, Jun, 73.6%, 84.7%, 69%, 66.3%, 66.2%, 58.1%, 50.1%, 75.4%, 50.1%, 51.4%, 
2008, Jul, 68.1%, 74.3%, 58.2%, 66.2%, 67.3%, 55.2%, 47.2%, 84.5%, 58.7%, 54%, 
2008, Aug, 75.3%, 81.7%, 68.8%, 69.1%, 75.3%, 54.9%, 51.4%, 91.5%, 70.4%, 64.2%, 
2008, Sep, 74.8%, 84.7%, 69.4%, 67.6%, 68.6%, 58.4%, 46.2%, 71.7%, 52.9%, 54.5%, 
2008, Oct, 70%, 77.9%, 65.8%, 62.6%, 66.2%, 61.4%, 50.5%, 60.2%, 46.6%, 50.2%, 
2008, Nov, 65.6%, 74.2%, 63.6%, 59.1%, 58.3%, 56.9%, 44.2%, 40.6%, 40%, 44.4%, 
2008, Dec, 48.2%, 50.2%, 52.4%, 46.6%, 42.9%, 38.7%, 35.3%, 33.6%, 31.6%, 30.1%, 
2009, Jan, 52.3%, 52.8%, 62.7%, 51%, 44.5%, 48.1%, 35.4%, 30%, 29.2%, 31.9%, 
2009, Feb, 55.9%, 57.6%, 63.2%, 53.9%, 49.4%, 50.8%, 36.5%, 36.6%, 33.8%, 32.4%, 
2009, Mar, 56.7%, 64.1%, 56.6%, 52.7%, 48%, 49.6%, 42.7%, 37.8%, 32.6%, 37.2%, 
2009, Apr, 57.4%, 60.3%, 58.4%, 55.9%, 53%, 53.5%, 47.2%, 49.9%, 41.8%, 39.7%, 
2009, May, 61.2%, 68.7%, 58.1%, 57.3%, 55.3%, 51.8%, 42.2%, 60.8%, 44.5%, 45.9%, 
2009, Jun, 64.6%, 77.6%, 55%, 57.2%, 58.3%, 58.9%, 48.9%, 67.9%, 44.1%, 48.8%, 
2009, Jul, 62.9%, 70.6%, 54%, 59.7%, 60.3%, 50%, 41.2%, 82.8%, 51.5%, 52.4%, 
2009, Aug, 69.7%, 79.5%, 62%, 61.4%, 67.4%, 49.4%, 39.8%, 85.7%, 61.9%, 53.1%, 
2009, Sep, 71.6%, 84.4%, 63.4%, 61%, 65.5%, 57.5%, 41.5%, 72.8%, 53.8%, 52.2%, 
2009, Oct, 66.2%, 77%, 60%, 56.2%, 61.6%, 56.9%, 45.8%, 54.9%, 45.1%, 47.2%, 
2009, Nov, 62.1%, 71.5%, 58%, 55.3%, 55%, 53.7%, 34.7%, 37.8%, 33.6%, 41.7%, 
2009, Dec, 47.7%, 51.6%, 48.8%, 45.7%, 41.9%, 38.4%, 33%, 35.3%, 29.3%, 31.3%, 
2010, Jan, 52.2%, 54.1%, 62.1%, 47.6%, 45.1%, 49.6%, 31.9%, 27.4%, 29%, 33.9%, 
2010, Feb, 59.2%, 63.1%, 69.7%, 53%, 50.2%, 53.1%, 34.4%, 32.9%, 35.4%, 33.9%, 
2010, Mar, 61.5%, 71.2%, 61.1%, 53.8%, 53%, 47.1%, 40.9%, 39%, 34.6%, 40.4%, 
2010, Apr, 65.7%, 76%, 65.7%, 57.9%, 56.8%, 56.7%, 40.8%, 47.6%, 38.5%, 41.1%, 
2010, May, 66.5%, 77.6%, 66.7%, 57.8%, 58.2%, 52.1%, 51.7%, 58.2%, 40.7%, 52.6%, 
2010, Jun, 75.9%, 85.5%, 78.2%, 70.1%, 65.7%, 58.9%, 54.5%, 75.1%, 45.9%, 57.9%, 
