Year, Month, Eastern Ontario, Kingston, Other Eastern Ontario, Ottawa, Downtown Ottawa, Ottawa West, Ottawa East, Greater Vancouver, Central Ontario, 
2001, Jan, 40.7%, 43.3%, 39.3%, 55.7%, 57.5%, 50.6%, 48.3%, 46%, 48.6%, 
2001, Feb, 49.4%, 52.2%, 48%, 76.5%, 79.4%, 66.8%, 67.1%, 56.4%, 52.4%, 
2001, Mar, 51.3%, 57.9%, 47.8%, 70.6%, 72.3%, 67.2%, 62.8%, 67.1%, 50.7%, 
2001, Apr, 49.3%, 56.2%, 45.5%, 63.8%, 65%, 61.2%, 58.1%, 62.9%, 44%, 
2001, May, 58.9%, 67%, 54.5%, 75.5%, 75.9%, 71.7%, 76.5%, 69.1%, 52.9%, 
2001, Jun, 69.6%, 75.2%, 66.3%, 76.1%, 76.7%, 75.2%, 72.9%, 74.3%, 67.4%, 
2001, Jul, 73.1%, 77.5%, 70.6%, 69%, 68.3%, 75.4%, 66.7%, 79.1%, 76.7%, 
2001, Aug, 79.1%, 82.9%, 77%, 71.7%, 71.2%, 75.6%, 70.2%, 84.6%, 84.5%, 
2001, Sep, 68.9%, 74.1%, 66%, 71.4%, 71.7%, 67.6%, 74.2%, 69.6%, 67.5%, 
2001, Oct, 61.3%, 63.9%, 59.8%, 75.8%, 78.2%, 63.3%, 74%, 55.2%, 59.4%, 
2001, Nov, 49.6%, 49.9%, 49.4%, 68.8%, 70.8%, 58.3%, 67.2%, 51.3%, 42.5%, 
2001, Dec, 36.9%, 37.5%, 36.6%, 45.8%, 46.7%, 42.4%, 42.8%, 42.6%, 36.3%, 
2002, Jan, 40.8%, 41.2%, 40.6%, 51.3%, 52.9%, 45.3%, 46.7%, 42.8%, 43%, 
2002, Feb, 48.4%, 56%, 44.5%, 65.2%, 67.7%, 51.9%, 60.5%, 53.2%, 52.6%, 
2002, Mar, 49.3%, 56.2%, 45.5%, 63.8%, 65%, 61.2%, 58.1%, 57.2%, 44%, 
2002, Apr, 54.7%, 60.6%, 51.8%, 65.9%, 67.8%, 55%, 62.2%, 60.3%, 42.6%, 
2002, May, 58.5%, 64.9%, 55.3%, 71.4%, 75%, 58.5%, 61.9%, 68%, 52.3%, 
