Year, Month, Downtown Vancouver, Vancouver Island, Whistler Resort Area, Alberta Resorts, Calgary, Edmonton, Regina, Winnipeg, Greater Montreal, Downtown  Montreal, 
2001, Jan, 43.6%, 40.4%, 78.2%, 49.2%, 49.7%, 52.7%, 46.5%, 50.9%, 51.3%, 49%, 
2001, Feb, 54.9%, 54.8%, 81.8%, 58.6%, 58.7%, 68.8%, 60.4%, 55.2%, 60.4%, 57.8%, 
2001, Mar, 68.1%, 65.6%, 84%, 65.8%, 64.6%, 70.5%, 64.9%, 59.4%, 63.3%, 62%, 
2001, Apr, 64.9%, 62.6%, 68.5%, 55.6%, 62.5%, 67.8%, 63.3%, 55.1%, 61%, 58.1%, 
2001, May, 70.3%, 66.6%, 37.7%, 61.7%, 68%, 65%, 63.2%, 60.9%, 74.1%, 72.8%, 
2001, Jun, 78.1%, 71.5%, 44.7%, 74.7%, 73.9%, 67.7%, 68.9%, 72.3%, 82.7%, 82.1%, 
2001, Jul, 82.8%, 76.9%, 61.7%, 88.5%, 81.9%, 72.1%, 58.5%, 64.4%, 79.4%, 80.3%, 
2001, Aug, 85.1%, 82.8%, 59%, 89.4%, 74.7%, 86.1%, 69.8%, 63.4%, 86.8%, 87.2%, 
2001, Sep, 70.4%, 64.6%, 35.6%, 65.3%, 71%, 62.7%, 59%, 63.6%, 72.8%, 70.3%, 
2001, Oct, 55.8%, 56.7%, 21.3%, 52.1%, 61.2%, 65.7%, 61.6%, 64.8%, 70.5%, 69.8%, 
2001, Nov, 50.7%, 47.6%, 25.7%, 38.6%, 55.6%, 71.8%, 72.2%, 65.2%, 63.6%, 64.5%, 
2001, Dec, 40.7%, 39.5%, 63%, 46.3%, 43%, 52.5%, 51.2%, 45.1%, 46.6%, 44.9%, 
2002, Jan, 39.6%, 38.6%, 69.2%, 44.9%, 48.7%, 56.2%, 46.8%, 45%, 48.2%, 46.2%, 
2002, Feb, 51.2%, 57.7%, 81.9%, 56.3%, 55%, 74.7%, 58.3%, 59.7%, 55.7%, 53.9%, 
2002, Mar, 57.2%, 64.2%, 83.6%, 62.5%, 62%, 76.6%, 59%, 59.9%, 61%, 58.1%, 
2002, Apr, 62.8%, 66%, 64.1%, 55.3%, 62.7%, 83.1%, 63.1%, 60.9%, 67.6%, 68%, 
2002, May, 70%, 67.9%, 28.9%, 57.6%, 67.9%, 82.2%, 56.3%, 67.9%, 76.5%, 77.1%, 
2002, Jun, 78.2%, 70.6%, 46.1%, 70.9%, 81.7%, 81%, 64%, 72.7%, 84.2%, 85.1%, 
2002, Jul, 81.1%, 78.1%, 57.3%, 83.3%, 78%, 79.8%, 58.4%, 59.8%, 78.8%, 79.2%, 
2002, Aug, 87.4%, 84.6%, 61.4%, 90.1%, 74.4%, 85.2%, 66.8%, 65.6%, 86.9%, 86.9%, 
2002, Sep, 74%, 68.7%, 42.9%, 75.5%, 73.3%, 72.6%, 64.6%, 66.1%, 76.3%, 76.2%, 
2002, Oct, 63.8%, 58.1%, 24%, 62.1%, 64.3%, 67.8%, 66%, 64.8%, 78.5%, 80.1%, 
2002, Nov, 53.4%, 46.5%, 21.6%, 45.8%, 56.1%, 71.5%, 67.7%, 63.7%, 63%, 62.8%, 
2002, Dec, 42.2%, 38.9%, 64.5%, 46.1%, 42.2%, 47.7%, 42%, 44.6%, 46.1%, 44.2%, 
2003, Jan, 43.2%, 38.5%, 74.6%, 39.2%, 47.3%, 48.3%, 49.2%, 44.5%, 48.9%, 45.9%, 
2003, Feb, 52.7%, 57.6%, 82.5%, 53.8%, 56.9%, 67.2%, 59.2%, 56.8%, 57.2%, 54.4%, 
2003, Mar, 57.6%, 62.4%, 74%, 58.3%, 57.4%, 63.7%, 60.7%, 57.8%, 58.5%, 57.3%, 
2003, Apr, 57.1%, 64.2%, 57.3%, 49.1%, 58.3%, 64%, 57.3%, 62.7%, 60.1%, 58.7%, 
2003, May, 70.8%, 67.3%, 28.9%, 49.6%, 62%, 63.2%, 62.4%, 65.5%, 67.7%, 67.2%, 
2003, Jun, 73.7%, 68.7%, 34.2%, 59.3%, 69.9%, 62.9%, 67.3%, 70.9%, 78%, 79.1%, 
