Year, Month, Montreal Airport/Laval, Greater Quebec City, Moncton, Halifax/Dartmouth, St. Johns, 
2001, Jan, 58.7%, 41.1%, 38.8%, 50.9%, 53.1%, 
2001, Feb, 69.5%, 63.8%, 50%, 63.8%, 63.9%, 
2001, Mar, 68.5%, 56.2%, 66%, 70.7%, 65.9%, 
2001, Apr, 71.2%, 65.2%, 56.3%, 67.8%, 63.4%, 
2001, May, 78.5%, 67.9%, 53.5%, 77.3%, 75.1%, 
2001, Jun, 85%, 71.6%, 62.4%, 88.2%, 90.1%, 
2001, Jul, 76.1%, 75.6%, 77%, 87.4%, 81.9%, 
2001, Aug, 86%, 87%, 78.1%, 92.3%, 81.8%, 
2001, Sep, 81.2%, 71.9%, 67.4%, 87.3%, 80.8%, 
2001, Oct, 72.2%, 65.7%, 56.3%, 80.5%, 67.2%, 
2001, Nov, 61.1%, 49.9%, 60.6%, 68.4%, 67%, 
2001, Dec, 51.7%, 44.7%, 35%, 41.1%, 46.1%, 
2002, Jan, 54.9%, 36.9%, 37.1%, 45.3%, 52.2%, 
2002, Feb, 61.1%, 68.4%, 53%, 59.7%, 58.3%, 
2002, Mar, 71.2%, 65.2%, 56.3%, 67.8%, 63.4%, 
2002, Apr, 65.5%, 52.2%, 56.1%, 69.3%, 69.7%, 
2002, May, 74.4%, 65.8%, 59.4%, 80.5%, 72.8%, 
2002, Jun, 81.6%, 74.5%, 61.9%, 87.8%, 81.8%, 
2002, Jul, 77%, 83.2%, 83.5%, 89.3%, 84.8%, 
2002, Aug, 86.7%, 90.3%, 85.7%, 94.6%, 85.6%, 
2002, Sep, 76%, 79.6%, 65.2%, 92.3%, 82.9%, 
2002, Oct, 73.1%, 71%, 57.5%, 78.1%, 75%, 
2002, Nov, 62.9%, 51.8%, 59.8%, 68.1%, 67.4%, 
2002, Dec, 51.3%, 42.7%, 33.8%, 43.1%, 44.7%, 
2003, Jan, 57.1%, 40.9%, 37.4%, 47.9%, 46.1%, 
2003, Feb, 65.1%, 69.8%, 56.9%, 59%, 61.1%, 
2003, Mar, 62.1%, 52.5%, 67.5%, 70.7%, 56.5%, 
2003, Apr, 64.1%, 50.7%, 55.2%, 65.3%, 59%, 
2003, May, 68.9%, 57.4%, 56.8%, 75.7%, 72.3%, 
2003, Jun, 75.6%, 71.1%, 62.4%, 85.1%, 85.5%, 
2003, Jul, 69.6%, 68%, 79.5%, 85.6%, 85.7%, 
2003, Aug, 78.8%, 80.9%, 84.3%, 92.1%, 85.6%, 
2003, Sep, 72.5%, 69.3%, 63.7%, 90.1%, 87.3%, 
2003, Oct, 67.8%, 65.1%, 57.7%, 84.6%, 80.7%, 
2003, Nov, 60.5%, 51.2%, 58.5%, 73.4%, 72.1%, 
2003, Dec, 53.1%, 39.9%, 35.8%, 42.8%, 53.7%, 
2004, Jan, 52.5%, 40.4%, 37.6%, 44.9%, 50.5%, 
2004, Feb, 61.2%, 58.6%, 55.4%, 62.1%, 64.3%, 
2004, Mar, 62.1%, 52.7%, 69.2%, 67.4%, 59.1%, 
2004, Apr, 64.9%, 50%, 55.7%, 68.8%, 57.4%, 
2004, May, 73.2%, 66.6%, 67.7%, 71.9%, 70%, 
2004, Jun, 76.3%, 74%, 66.1%, 78.6%, 92.8%, 
2004, Jul, 74.5%, 79.8%, 80.5%, 86.7%, 80%, 
2004, Aug, 77.9%, 81.1%, 79.3%, 89.5%, 80.4%, 
2004, Sep, 78.4%, 80.4%, 67.1%, 92.4%, 81.5%, 
2004, Oct, 69.2%, 75.3%, 64.1%, 78.3%, 69.1%, 
2004, Nov, 65.1%, 55.7%, 65.1%, 66.3%, 65.7%, 
2004, Dec, 56.8%, 42.7%, 41.5%, 42.2%, 44.4%, 
2005, Jan, 61.3%, 46.9%, 40.6%, 44.9%, 42.9%, 
2005, Feb, 66.7%, 64.8%, 55.9%, 56.5%, 63.2%, 
2005, Mar, 65%, 47.7%, 65.2%, 59.4%, 59.2%, 
2005, Apr, 66.9%, 53.8%, 61%, 68%, 65.3%, 
2005, May, 68.9%, 64.3%, 61.7%, 77.4%, 71.5%, 
2005, Jun, 77.3%, 76.6%, 69.9%, 80.4%, 87.5%, 
2005, Jul, 78.9%, 87.9%, 74.2%, 82.1%, 81%, 
2005, Aug, 77%, 84%, 80.6%, 85.2%, 73.2%, 
2005, Sep, 78%, 73.8%, 69.6%, 88.6%, 73%, 
2005, Oct, 70.8%, 72.1%, 66.1%, 79.8%, 69.8%, 
2005, Nov, 65.4%, 55.4%, 65.4%, 67.2%, 58.4%, 
2005, Dec, 55.8%, 43.1%, 40%, 51.2%, 39.6%, 
2006, Jan, 57.2%, 44.2%, 42%, 45.4%, 42.2%, 
2006, Feb, 66.4%, 66.5%, 59.8%, 56.9%, 49.8%, 
2006, Mar, 63.7%, 51.6%, 68.8%, 65.4%, 51.9%, 
2006, Apr, 62.8%, 52.1%, 62.5%, 64.4%, 52%, 
2006, May, 75.1%, 72.3%, 76.8%, 73.4%, 67.8%, 
2006, Jun, 78.7%, 73.4%, 66.5%, 80.5%, 84.1%, 
2006, Jul, 74.1%, 76.6%, 73.1%, 77.2%, 81.5%, 
2006, Aug, 77.2%, 82.3%, 84.6%, 84.2%, 85.1%, 
2006, Sep, 75.3%, 73.7%, 72.6%, 89.5%, 76.4%, 
2006, Oct, 70.9%, 70%, 61.9%, 74.9%, 65.8%, 
2006, Nov, 63.3%, 56.8%, 64.6%, 68.1%, 58.3%, 
2006, Dec, 55.2%, 41%, 41.7%, 43.8%, 40%, 
2007, Jan, 56.6%, 39.5%, 43%, 47.6%, 41%, 
2007, Feb, 64.4%, 61.7%, 58%, 59.2%, 50.6%, 
2007, Mar, 62.8%, 50.8%, 57.8%, 57.6%, 47.7%, 
2007, Apr, 63%, 51.4%, 57.6%, 66.1%, 58.1%, 
2007, May, 69.9%, 65.6%, 65.4%, 74.5%, 70.9%, 
2007, Jun, 76.1%, 71.8%, 67.3%, 81.1%, 81.9%, 
2007, Jul, 68.5%, 78.8%, 77.2%, 83%, 80.4%, 
2007, Aug, 76.6%, 83.8%, 82.2%, 82.3%, 85.6%, 
2007, Sep, 78.3%, 70.5%, 71.4%, 87.7%, 81.8%, 
2007, Oct, 72.9%, 68.9%, 64.1%, 78%, 77%, 
2007, Nov, 68%, 54.8%, 58%, 64.3%, 67%, 
2007, Dec, 68%, 62%, 63%, 69.4%, 65.6%, 
2008, Jan, 59.1%, 43.4%, 44.3%, 45.9%, 44.5%, 
2008, Feb, 67.2%, 62.6%, 58.1%, 57.3%, 50.1%, 
2008, Mar, 64.1%, 58.4%, 64.2%, 61.2%, 49.8%, 
