"Year","Month","GEO","Value","Type"
2001," Jan","Canada"," 48.5%","Hotel Occupancy Rate"
2001," Jan","British Columbia"," 45.4%","Hotel Occupancy Rate"
2001," Jan","Manitoba"," 51.3%","Hotel Occupancy Rate"
2001," Jan","New Brunswick"," 41.1%","Hotel Occupancy Rate"
2001," Jan","Nova Scotia"," 46.4%","Hotel Occupancy Rate"
2001," Jan","Ontario"," 50.4%","Hotel Occupancy Rate"
2001," Jan","Quebec"," 47.7%","Hotel Occupancy Rate"
2001," Jan","Saskatchewan"," 48.7%","Hotel Occupancy Rate"
2001," Jan","Newfoundland"," 46%","Hotel Occupancy Rate"
2001," Feb","Canada"," 58.5%","Hotel Occupancy Rate"
2001," Feb","British Columbia"," 55.1%","Hotel Occupancy Rate"
2001," Feb","Manitoba"," 55.1%","Hotel Occupancy Rate"
2001," Feb","New Brunswick"," 49.7%","Hotel Occupancy Rate"
2001," Feb","Nova Scotia"," 56.2%","Hotel Occupancy Rate"
2001," Feb","Ontario"," 59.7%","Hotel Occupancy Rate"
2001," Feb","Quebec"," 60.1%","Hotel Occupancy Rate"
2001," Feb","Saskatchewan"," 58%","Hotel Occupancy Rate"
2001," Feb","Newfoundland"," 57.9%","Hotel Occupancy Rate"
2001," Mar","Canada"," 62%","Hotel Occupancy Rate"
2001," Mar","British Columbia"," 63.9%","Hotel Occupancy Rate"
2001," Mar","Manitoba"," 59.4%","Hotel Occupancy Rate"
2001," Mar","New Brunswick"," 56.3%","Hotel Occupancy Rate"
2001," Mar","Nova Scotia"," 63.9%","Hotel Occupancy Rate"
2001," Mar","Ontario"," 60.6%","Hotel Occupancy Rate"
2001," Mar","Quebec"," 59.9%","Hotel Occupancy Rate"
2001," Mar","Saskatchewan"," 62.6%","Hotel Occupancy Rate"
2001," Mar","Newfoundland"," 61%","Hotel Occupancy Rate"
2001," Apr","Canada"," 60.1%","Hotel Occupancy Rate"
2001," Apr","British Columbia"," 60.1%","Hotel Occupancy Rate"
2001," Apr","Manitoba"," 55%","Hotel Occupancy Rate"
2001," Apr","New Brunswick"," 52.3%","Hotel Occupancy Rate"
2001," Apr","Nova Scotia"," 61.5%","Hotel Occupancy Rate"
2001," Apr","Ontario"," 61.4%","Hotel Occupancy Rate"
2001," Apr","Quebec"," 58%","Hotel Occupancy Rate"
2001," Apr","Saskatchewan"," 58.6%","Hotel Occupancy Rate"
2001," Apr","Newfoundland"," 55.6%","Hotel Occupancy Rate"
2001," May","Canada"," 65.2%","Hotel Occupancy Rate"
2001," May","British Columbia"," 62.9%","Hotel Occupancy Rate"
2001," May","Manitoba"," 58.3%","Hotel Occupancy Rate"
2001," May","New Brunswick"," 57.5%","Hotel Occupancy Rate"
2001," May","Nova Scotia"," 70.4%","Hotel Occupancy Rate"
2001," May","Ontario"," 66.6%","Hotel Occupancy Rate"
2001," May","Quebec"," 68.9%","Hotel Occupancy Rate"
2001," May","Saskatchewan"," 60.5%","Hotel Occupancy Rate"
2001," May","Newfoundland"," 67.2%","Hotel Occupancy Rate"
