"date","hits","keyword","geo","time","gprop","category"
2018-01-28,23,"Inflation","CA","today+5-y","web",0
2018-02-04,25,"Inflation","CA","today+5-y","web",0
2018-02-11,23,"Inflation","CA","today+5-y","web",0
2018-02-18,17,"Inflation","CA","today+5-y","web",0
2018-02-25,19,"Inflation","CA","today+5-y","web",0
2018-03-04,16,"Inflation","CA","today+5-y","web",0
2018-03-11,18,"Inflation","CA","today+5-y","web",0
2018-03-18,22,"Inflation","CA","today+5-y","web",0
2018-03-25,22,"Inflation","CA","today+5-y","web",0
2018-04-01,20,"Inflation","CA","today+5-y","web",0
2018-04-08,20,"Inflation","CA","today+5-y","web",0
2018-04-15,19,"Inflation","CA","today+5-y","web",0
2018-04-22,17,"Inflation","CA","today+5-y","web",0
2018-04-29,16,"Inflation","CA","today+5-y","web",0
2018-05-06,17,"Inflation","CA","today+5-y","web",0
2018-05-13,15,"Inflation","CA","today+5-y","web",0
2018-05-20,16,"Inflation","CA","today+5-y","web",0
2018-05-27,18,"Inflation","CA","today+5-y","web",0
2018-06-03,18,"Inflation","CA","today+5-y","web",0
2018-06-10,18,"Inflation","CA","today+5-y","web",0
2018-06-17,17,"Inflation","CA","today+5-y","web",0
2018-06-24,13,"Inflation","CA","today+5-y","web",0
2018-07-01,13,"Inflation","CA","today+5-y","web",0
2018-07-08,15,"Inflation","CA","today+5-y","web",0
2018-07-15,15,"Inflation","CA","today+5-y","web",0
2018-07-22,16,"Inflation","CA","today+5-y","web",0
2018-07-29,17,"Inflation","CA","today+5-y","web",0
2018-08-05,15,"Inflation","CA","today+5-y","web",0
2018-08-12,20,"Inflation","CA","today+5-y","web",0
2018-08-19,18,"Inflation","CA","today+5-y","web",0
2018-08-26,18,"Inflation","CA","today+5-y","web",0
2018-09-02,17,"Inflation","CA","today+5-y","web",0
2018-09-09,19,"Inflation","CA","today+5-y","web",0
2018-09-16,21,"Inflation","CA","today+5-y","web",0
2018-09-23,22,"Inflation","CA","today+5-y","web",0
