"date","hits","keyword","geo","time","gprop","category"
2018-01-28,5,"Recession","CA","today+5-y","web",0
2018-02-04,6,"Recession","CA","today+5-y","web",0
2018-02-11,6,"Recession","CA","today+5-y","web",0
2018-02-18,4,"Recession","CA","today+5-y","web",0
2018-02-25,5,"Recession","CA","today+5-y","web",0
2018-03-04,5,"Recession","CA","today+5-y","web",0
2018-03-11,4,"Recession","CA","today+5-y","web",0
2018-03-18,4,"Recession","CA","today+5-y","web",0
2018-03-25,6,"Recession","CA","today+5-y","web",0
2018-04-01,6,"Recession","CA","today+5-y","web",0
2018-04-08,5,"Recession","CA","today+5-y","web",0
2018-04-15,6,"Recession","CA","today+5-y","web",0
2018-04-22,7,"Recession","CA","today+5-y","web",0
2018-04-29,5,"Recession","CA","today+5-y","web",0
2018-05-06,4,"Recession","CA","today+5-y","web",0
2018-05-13,4,"Recession","CA","today+5-y","web",0
2018-05-20,5,"Recession","CA","today+5-y","web",0
2018-05-27,9,"Recession","CA","today+5-y","web",0
2018-06-03,7,"Recession","CA","today+5-y","web",0
2018-06-10,8,"Recession","CA","today+5-y","web",0
2018-06-17,10,"Recession","CA","today+5-y","web",0
2018-06-24,10,"Recession","CA","today+5-y","web",0
2018-07-01,7,"Recession","CA","today+5-y","web",0
2018-07-08,5,"Recession","CA","today+5-y","web",0
2018-07-15,6,"Recession","CA","today+5-y","web",0
2018-07-22,5,"Recession","CA","today+5-y","web",0
2018-07-29,5,"Recession","CA","today+5-y","web",0
2018-08-05,3,"Recession","CA","today+5-y","web",0
2018-08-12,4,"Recession","CA","today+5-y","web",0
2018-08-19,6,"Recession","CA","today+5-y","web",0
2018-08-26,5,"Recession","CA","today+5-y","web",0
2018-09-02,6,"Recession","CA","today+5-y","web",0
2018-09-09,5,"Recession","CA","today+5-y","web",0
2018-09-16,7,"Recession","CA","today+5-y","web",0
2018-09-23,9,"Recession","CA","today+5-y","web",0
2018-09-30,6,"Recession","CA","today+5-y","web",0
2018-10-07,7,"Recession","CA","today+5-y","web",0
2018-10-14,9,"Recession","CA","today+5-y","web",0
2018-10-21,8,"Recession","CA","today+5-y","web",0
2018-10-28,7,"Recession","CA","today+5-y","web",0
2018-11-04,7,"Recession","CA","today+5-y","web",0
2018-11-11,8,"Recession","CA","today+5-y","web",0
2018-11-18,7,"Recession","CA","today+5-y","web",0
2018-11-25,7,"Recession","CA","today+5-y","web",0
2018-12-02,13,"Recession","CA","today+5-y","web",0
2018-12-09,12,"Recession","CA","today+5-y","web",0
2018-12-16,18,"Recession","CA","today+5-y","web",0
2018-12-23,10,"Recession","CA","today+5-y","web",0
2018-12-30,9,"Recession","CA","today+5-y","web",0
2019-01-06,7,"Recession","CA","today+5-y","web",0
2019-01-13,8,"Recession","CA","today+5-y","web",0
2019-01-20,13,"Recession","CA","today+5-y","web",0
2019-01-27,8,"Recession","CA","today+5-y","web",0
2019-02-03,7,"Recession","CA","today+5-y","web",0
2019-02-10,8,"Recession","CA","today+5-y","web",0
2019-02-17,7,"Recession","CA","today+5-y","web",0
2019-02-24,8,"Recession","CA","today+5-y","web",0
2019-03-03,9,"Recession","CA","today+5-y","web",0
2019-03-10,9,"Recession","CA","today+5-y","web",0
2019-03-17,13,"Recession","CA","today+5-y","web",0
2019-03-24,14,"Recession","CA","today+5-y","web",0
2019-03-31,12,"Recession","CA","today+5-y","web",0
2019-04-07,10,"Recession","CA","today+5-y","web",0
2019-04-14,8,"Recession","CA","today+5-y","web",0
2019-04-21,6,"Recession","CA","today+5-y","web",0
2019-04-28,9,"Recession","CA","today+5-y","web",0
2019-05-05,6,"Recession","CA","today+5-y","web",0
2019-05-12,7,"Recession","CA","today+5-y","web",0
2019-05-19,8,"Recession","CA","today+5-y","web",0
2019-05-26,10,"Recession","CA","today+5-y","web",0
2019-06-02,8,"Recession","CA","today+5-y","web",0
2019-06-09,8,"Recession","CA","today+5-y","web",0
2019-06-16,9,"Recession","CA","today+5-y","web",0
2019-06-23,5,"Recession","CA","today+5-y","web",0
2019-06-30,6,"Recession","CA","today+5-y","web",0
2019-07-07,9,"Recession","CA","today+5-y","web",0
2019-07-14,8,"Recession","CA","today+5-y","web",0
2019-07-21,5,"Recession","CA","today+5-y","web",0
2019-07-28,10,"Recession","CA","today+5-y","web",0
2019-08-04,12,"Recession","CA","today+5-y","web",0
2019-08-11,48,"Recession","CA","today+5-y","web",0
2019-08-18,31,"Recession","CA","today+5-y","web",0
2019-08-25,25,"Recession","CA","today+5-y","web",0
2019-09-01,15,"Recession","CA","today+5-y","web",0
2019-09-08,13,"Recession","CA","today+5-y","web",0
2019-09-15,15,"Recession","CA","today+5-y","web",0
2019-09-22,13,"Recession","CA","today+5-y","web",0
2019-09-29,15,"Recession","CA","today+5-y","web",0
2019-10-06,16,"Recession","CA","today+5-y","web",0
2019-10-13,15,"Recession","CA","today+5-y","web",0
2019-10-20,14,"Recession","CA","today+5-y","web",0
2019-10-27,14,"Recession","CA","today+5-y","web",0
2019-11-03,15,"Recession","CA","today+5-y","web",0
2019-11-10,12,"Recession","CA","today+5-y","web",0
2019-11-17,12,"Recession","CA","today+5-y","web",0
2019-11-24,12,"Recession","CA","today+5-y","web",0
2019-12-01,12,"Recession","CA","today+5-y","web",0
2019-12-08,12,"Recession","CA","today+5-y","web",0
2019-12-15,10,"Recession","CA","today+5-y","web",0
2019-12-22,7,"Recession","CA","today+5-y","web",0
2019-12-29,7,"Recession","CA","today+5-y","web",0
2020-01-05,9,"Recession","CA","today+5-y","web",0
2020-01-12,8,"Recession","CA","today+5-y","web",0
2020-01-19,9,"Recession","CA","today+5-y","web",0
2020-01-26,10,"Recession","CA","today+5-y","web",0
2020-02-02,11,"Recession","CA","today+5-y","web",0
2020-02-09,7,"Recession","CA","today+5-y","web",0
2020-02-16,8,"Recession","CA","today+5-y","web",0
2020-02-23,22,"Recession","CA","today+5-y","web",0
2020-03-01,19,"Recession","CA","today+5-y","web",0
2020-03-08,84,"Recession","CA","today+5-y","web",0
2020-03-15,100,"Recession","CA","today+5-y","web",0
2020-03-22,50,"Recession","CA","today+5-y","web",0
2020-03-29,36,"Recession","CA","today+5-y","web",0
2020-04-05,28,"Recession","CA","today+5-y","web",0
