"Week","Year","Industry","Revenue","Source"
"Week 1","2020","AUTOMOTIVE",56.85374,"CN"
"Week 1","2020","COAL",336.85465,"CN"
"Week 1","2020","FOREST PRODUCTS",518.34593,"CN"
"Week 1","2020","GRAIN & FERTS",1120.91072,"CN"
"Week 1","2020","INTERMODAL",1130.52082,"CN"
"Week 1","2020","METALS&MINERALS",497.09711,"CN"
"Week 1","2020","PETRO&CHEMICALS",1156.58651,"CN"
"Week 1","2020","RTMs TOTAL",4817.16949,"CN"
"Week 2","2020","AUTOMOTIVE",68.97286,"CN"
"Week 2","2020","COAL",216.71103,"CN"
"Week 2","2020","FOREST PRODUCTS",409.98285,"CN"
"Week 2","2020","GRAIN & FERTS",916.35433,"CN"
"Week 2","2020","INTERMODAL",973.50637,"CN"
"Week 2","2020","METALS&MINERALS",447.06049,"CN"
"Week 2","2020","PETRO&CHEMICALS",946.6755,"CN"
"Week 2","2020","RTMs TOTAL",3979.26343,"CN"
"Week 3","2020","AUTOMOTIVE",60.4605,"CN"
"Week 3","2020","COAL",284.5646,"CN"
"Week 3","2020","FOREST PRODUCTS",494.7079,"CN"
"Week 3","2020","GRAIN & FERTS",1115.3333,"CN"
"Week 3","2020","INTERMODAL",1151.5688,"CN"
"Week 3","2020","METALS&MINERALS",516.4065,"CN"
"Week 3","2020","PETRO&CHEMICALS",1122.2778,"CN"
"Week 3","2020","RTMs TOTAL",4745.3194,"CN"
"Week 4","2020","AUTOMOTIVE",67.61189,"CN"
"Week 4","2020","COAL",333.69355,"CN"
"Week 4","2020","FOREST PRODUCTS",540.54552,"CN"
"Week 4","2020","GRAIN & FERTS",988.83953,"CN"
"Week 4","2020","INTERMODAL",1186.0748,"CN"
"Week 4","2020","METALS&MINERALS",556.88288,"CN"
"Week 4","2020","PETRO&CHEMICALS",1250.92256,"CN"
"Week 4","2020","RTMs TOTAL",4924.57073,"CN"
"Week 5","2020","AUTOMOTIVE",66.40547,"CN"
"Week 5","2020","COAL",266.86954,"CN"
"Week 5","2020","FOREST PRODUCTS",462.10757,"CN"
"Week 5","2020","GRAIN & FERTS",973.44154,"CN"
"Week 5","2020","INTERMODAL",1039.71697,"CN"
"Week 5","2020","METALS&MINERALS",486.95576,"CN"
"Week 5","2020","PETRO&CHEMICALS",1160.7623,"CN"
"Week 5","2020","RTMs TOTAL",4456.25916,"CN"
"Week 6","2020","AUTOMOTIVE",73.85013,"CN"
"Week 6","2020","COAL",247.09689,"CN"
"Week 6","2020","FOREST PRODUCTS",457.58558,"CN"
"Week 6","2020","GRAIN & FERTS",809.73731,"CN"
"Week 6","2020","INTERMODAL",781.15385,"CN"
"Week 6","2020","METALS&MINERALS",453.06712,"CN"
"Week 6","2020","PETRO&CHEMICALS",908.2136,"CN"
"Week 6","2020","RTMs TOTAL",3730.70447,"CN"
"Week 7","2020","AUTOMOTIVE",60.87914,"CN"
"Week 7","2020","COAL",312.45113,"CN"
"Week 7","2020","FOREST PRODUCTS",411.12619,"CN"
"Week 7","2020","GRAIN & FERTS",933.47032,"CN"
"Week 7","2020","INTERMODAL",780.76236,"CN"
"Week 7","2020","METALS&MINERALS",505.95973,"CN"
"Week 7","2020","PETRO&CHEMICALS",957.77408,"CN"
"Week 7","2020","RTMs TOTAL",3962.42295,"CN"
"Week 8","2020","AUTOMOTIVE",57.93569,"CN"
"Week 8","2020","COAL",306.8805,"CN"
"Week 8","2020","FOREST PRODUCTS",437.23719,"CN"
"Week 8","2020","GRAIN & FERTS",962.73881,"CN"
"Week 8","2020","INTERMODAL",863.55465,"CN"
"Week 8","2020","METALS&MINERALS",499.04725,"CN"
"Week 8","2020","PETRO&CHEMICALS",1010.66473,"CN"
"Week 8","2020","RTMs TOTAL",4138.05883,"CN"
"Week 9","2020","AUTOMOTIVE",78.91955,"CN"
"Week 9","2020","COAL",415.55501,"CN"
"Week 9","2020","FOREST PRODUCTS",542.66233,"CN"
"Week 9","2020","GRAIN & FERTS",1076.3612,"CN"
"Week 9","2020","INTERMODAL",943.41607,"CN"
"Week 9","2020","METALS&MINERALS",599.24832,"CN"
"Week 9","2020","PETRO&CHEMICALS",1126.42294,"CN"
"Week 9","2020","RTMs TOTAL",4782.58542,"CN"
"Week 10","2020","AUTOMOTIVE",85.15272,"CN"
"Week 10","2020","COAL",348.99158,"CN"
"Week 10","2020","FOREST PRODUCTS",516.09236,"CN"
"Week 10","2020","GRAIN & FERTS",1302.98688,"CN"
"Week 10","2020","INTERMODAL",1016.50188,"CN"
"Week 10","2020","METALS&MINERALS",538.27951,"CN"
"Week 10","2020","PETRO&CHEMICALS",1078.94775,"CN"
"Week 10","2020","RTMs TOTAL",4886.95267,"CN"
"Week 11","2020","AUTOMOTIVE",88.86964,"CN"
"Week 11","2020","COAL",362.28751,"CN"
"Week 11","2020","FOREST PRODUCTS",542.91884,"CN"
"Week 11","2020","GRAIN & FERTS",1436.95227,"CN"
"Week 11","2020","INTERMODAL",1007.43719,"CN"
"Week 11","2020","METALS&MINERALS",514.26725,"CN"
"Week 11","2020","PETRO&CHEMICALS",1095.94153,"CN"
"Week 11","2020","RTMs TOTAL",5048.67424,"CN"
