"date","Airport_details","count"
NA,"154,908_159,527","158,227"
NA,"156,934_143,741","141,105"
NA,"79,100_72,224","70,459"
NA,"27,425_20,049","21,979"
NA,"157,641_139,711","136,000"
NA,"173,258_178,190","175,652"
NA,"178,235_162,399","156,873"
NA,"88,616_80,036","78,078"
NA,"31,085_22,261","24,217"
NA,"173,503_155,980","150,524"
NA,"154,908_159,527","154,058"
NA,"156,934_143,741","138,590"
NA,"79,100_72,224","64,980"
NA,"27,425_20,049","20,212"
NA,"157,641_139,711","140,528"
NA,"173,258_178,190","171,212"
NA,"178,235_162,399","156,539"
NA,"88,616_80,036","71,277"
NA,"31,085_22,261","22,116"
NA,"173,503_155,980","155,494"
NA,"154,908_159,527","155,036"
NA,"156,934_143,741","138,528"
NA,"79,100_72,224","62,229"
NA,"27,425_20,049","21,085"
NA,"157,641_139,711","147,064"
NA,"173,258_178,190","171,982"
NA,"178,235_162,399","156,540"
NA,"88,616_80,036","69,229"
NA,"31,085_22,261","23,176"
NA,"173,503_155,980","162,765"
NA,"154,908_159,527","149,747"
NA,"156,934_143,741","132,302"
NA,"79,100_72,224","65,565"
NA,"27,425_20,049","23,069"
NA,"157,641_139,711","130,469"
NA,"173,258_178,190","165,181"
NA,"178,235_162,399","148,470"
NA,"88,616_80,036","71,628"
NA,"31,085_22,261","24,781"
NA,"173,503_155,980","143,410"
NA,"154,908_159,527","157,158"
NA,"156,934_143,741","143,884"
NA,"79,100_72,224","66,149"
NA,"27,425_20,049","26,519"
NA,"157,641_139,711","141,314"
NA,"173,258_178,190","175,070"
NA,"178,235_162,399","162,152"
NA,"88,616_80,036","73,014"
NA,"31,085_22,261","29,051"
NA,"173,503_155,980","155,385"
NA,"154,908_159,527","147,628"
NA,"156,934_143,741","127,551"
NA,"79,100_72,224","53,138"
NA,"27,425_20,049","16,747"
NA,"157,641_139,711","139,275"
NA,"173,258_178,190","164,701"
NA,"178,235_162,399","144,344"
NA,"88,616_80,036","58,591"
NA,"31,085_22,261","18,516"
NA,"173,503_155,980","154,210"
