"","Dimension_Name","Dimension_Category","Tab","Measure","Year","Value"
"1","National (All industries)","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2009","613955"
"2","National (All industries)","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2010","629167"
"3","National (All industries)","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2011","635845"
"4","National (All industries)","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2012","640369"
"5","National (All industries)","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2013","642982"
"6","National (All industries)","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2014","646091"
"7","National (All industries)","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2015","651501"
"8","National (All industries)","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2016","627847"
"9","National (All industries)","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2017","637788"
"10","National (All industries)","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2018","647726"
"11","National (All industries)","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2019","643907"
"12","National (All industries)","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2020","578462"
"13","Newfoundland and Labrador","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2009","7250"
"14","Newfoundland and Labrador","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2010","7436"
"15","Newfoundland and Labrador","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2011","7240"
"16","Newfoundland and Labrador","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2012","6812"
"17","Newfoundland and Labrador","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2013","7011"
"18","Newfoundland and Labrador","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2014","7746"
"19","Newfoundland and Labrador","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2015","8452"
"20","Newfoundland and Labrador","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2016","8755"
"21","Newfoundland and Labrador","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2017","8262"
"22","Newfoundland and Labrador","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2018","7989"
"23","Newfoundland and Labrador","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2019","7924"
"24","Newfoundland and Labrador","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2020","6438"
"25","Prince Edward Island","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2009","823"
"26","Prince Edward Island","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2010","898"
"27","Prince Edward Island","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2011","973"
"28","Prince Edward Island","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2012","922"
"29","Prince Edward Island","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2013","744"
"30","Prince Edward Island","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2014","786"
"31","Prince Edward Island","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2015","793"
"32","Prince Edward Island","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2016","830"
"33","Prince Edward Island","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2017","819"
"34","Prince Edward Island","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2018","844"
"35","Prince Edward Island","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2019","866"
"36","Prince Edward Island","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2020","914"
"37","Nova Scotia","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2009","18935"
"38","Nova Scotia","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2010","17714"
"39","Nova Scotia","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2011","17404"
"40","Nova Scotia","Geography","GHG Emissions","Greenhouse gas (GHG) emissions (Kilotonnes of carbon dioxide (CO2) equivalents), by geography","2012","15325"
