"GEO","Date","Value"
"Newfoundland and Labrador",2000-01-01,10
"Newfoundland and Labrador",2000-02-01,6
"Newfoundland and Labrador",2000-03-01,14
"Newfoundland and Labrador",2000-04-01,7
"Newfoundland and Labrador",2000-05-01,8
"Newfoundland and Labrador",2000-06-01,8
"Newfoundland and Labrador",2000-07-01,7
"Newfoundland and Labrador",2000-08-01,10
"Newfoundland and Labrador",2000-09-01,11
"Newfoundland and Labrador",2000-10-01,13
"Newfoundland and Labrador",2000-11-01,19
"Newfoundland and Labrador",2000-12-01,8
"Newfoundland and Labrador",2001-01-01,4
"Newfoundland and Labrador",2001-02-01,5
"Newfoundland and Labrador",2001-03-01,7
"Newfoundland and Labrador",2001-04-01,12
"Newfoundland and Labrador",2001-05-01,16
"Newfoundland and Labrador",2001-06-01,11
"Newfoundland and Labrador",2001-07-01,12
"Newfoundland and Labrador",2001-08-01,12
"Newfoundland and Labrador",2001-09-01,4
"Newfoundland and Labrador",2001-10-01,13
"Newfoundland and Labrador",2001-11-01,2
"Newfoundland and Labrador",2001-12-01,8
"Newfoundland and Labrador",2002-01-01,5
"Newfoundland and Labrador",2002-02-01,10
"Newfoundland and Labrador",2002-03-01,8
"Newfoundland and Labrador",2002-04-01,10
"Newfoundland and Labrador",2002-05-01,9
"Newfoundland and Labrador",2002-06-01,8
"Newfoundland and Labrador",2002-07-01,6
"Newfoundland and Labrador",2002-08-01,4
"Newfoundland and Labrador",2002-09-01,8
"Newfoundland and Labrador",2002-10-01,5
"Newfoundland and Labrador",2002-11-01,3
"Newfoundland and Labrador",2002-12-01,7
"Newfoundland and Labrador",2003-01-01,3
"Newfoundland and Labrador",2003-02-01,9
"Newfoundland and Labrador",2003-03-01,6
"Newfoundland and Labrador",2003-04-01,11
"Newfoundland and Labrador",2003-05-01,4
"Newfoundland and Labrador",2003-06-01,4
"Newfoundland and Labrador",2003-07-01,10
"Newfoundland and Labrador",2003-08-01,1
"Newfoundland and Labrador",2003-09-01,5
"Newfoundland and Labrador",2003-10-01,1
"Newfoundland and Labrador",2003-11-01,4
"Newfoundland and Labrador",2003-12-01,5
"Newfoundland and Labrador",2004-01-01,3
"Newfoundland and Labrador",2004-02-01,3
"Newfoundland and Labrador",2004-03-01,6
"Newfoundland and Labrador",2004-04-01,8
"Newfoundland and Labrador",2004-05-01,6
"Newfoundland and Labrador",2004-06-01,5
"Newfoundland and Labrador",2004-07-01,10
"Newfoundland and Labrador",2004-08-01,2
"Newfoundland and Labrador",2004-09-01,5
"Newfoundland and Labrador",2004-10-01,4
"Newfoundland and Labrador",2004-11-01,3
"Newfoundland and Labrador",2004-12-01,4
"Newfoundland and Labrador",2005-01-01,6
"Newfoundland and Labrador",2005-02-01,5
"Newfoundland and Labrador",2005-03-01,9
"Newfoundland and Labrador",2005-04-01,6
"Newfoundland and Labrador",2005-05-01,5
"Newfoundland and Labrador",2005-06-01,3
"Newfoundland and Labrador",2005-07-01,1
"Newfoundland and Labrador",2005-08-01,4
"Newfoundland and Labrador",2005-09-01,2
"Newfoundland and Labrador",2005-10-01,7
"Newfoundland and Labrador",2005-11-01,9
"Newfoundland and Labrador",2005-12-01,3
"Newfoundland and Labrador",2006-01-01,4
"Newfoundland and Labrador",2006-02-01,2
"Newfoundland and Labrador",2006-03-01,7
"Newfoundland and Labrador",2006-04-01,3
"Newfoundland and Labrador",2006-05-01,3
"Newfoundland and Labrador",2006-06-01,6
"Newfoundland and Labrador",2006-07-01,1
"Newfoundland and Labrador",2006-08-01,4
"Newfoundland and Labrador",2006-09-01,3
"Newfoundland and Labrador",2006-10-01,4
"Newfoundland and Labrador",2006-11-01,8
"Newfoundland and Labrador",2006-12-01,1
"Newfoundland and Labrador",2007-01-01,5
"Newfoundland and Labrador",2007-02-01,5
"Newfoundland and Labrador",2007-03-01,7
"Newfoundland and Labrador",2007-04-01,3
"Newfoundland and Labrador",2007-05-01,5
"Newfoundland and Labrador",2007-06-01,10
"Newfoundland and Labrador",2007-07-01,1
"Newfoundland and Labrador",2007-08-01,2
"Newfoundland and Labrador",2007-09-01,7
"Newfoundland and Labrador",2007-10-01,5
"Newfoundland and Labrador",2007-11-01,1
"Newfoundland and Labrador",2007-12-01,3
"Newfoundland and Labrador",2008-01-01,7
"Newfoundland and Labrador",2008-02-01,7
"Newfoundland and Labrador",2008-03-01,2
"Newfoundland and Labrador",2008-04-01,2
"Newfoundland and Labrador",2008-05-01,3
"Newfoundland and Labrador",2008-06-01,5
"Newfoundland and Labrador",2008-07-01,2
"Newfoundland and Labrador",2008-08-01,3
"Newfoundland and Labrador",2008-09-01,0
"Newfoundland and Labrador",2008-10-01,3
"Newfoundland and Labrador",2008-11-01,0
"Newfoundland and Labrador",2008-12-01,6
"Newfoundland and Labrador",2009-01-01,1
"Newfoundland and Labrador",2009-02-01,2
"Newfoundland and Labrador",2009-03-01,3
