year,week_no,geo_zone,card_present,indexed_volume_current,yoy_vol_Growth,yoy_txn_Growth,ats_current,ATS_prior,ATS_YOY_Growth
2023,44,CANADA,CNP,1.8826507430544699,-0.008017652592628132,0.04870545273030594,243.07260862856657,257.2108240861303,-0.05496742023900735
2023,1,CANADA,CNP,1.6069880867993114,0.11611177848927214,0.06336058774357403,265.0349281215651,262.31085376018257,0.010384909058597333
2020,26,CANADA,CNP,1.249184198962636,-0.00013336264184631293,0.05901492781968741,263.3918606370788,269.98836151271115,-0.02443253790153382
2019,15,CANADA,CNP,1.1482245542868503,0.04885279387904295,0.0845027842309574,260.9835147021866,261.5080203790245,-0.0020056963303753
2024,13,CANADA,CNP,1.9289879564326091,0.09727506277839963,0.11112757264602846,261.7874683126965,270.4617325788166,-0.032072057600948486
2022,15,CANADA,CNP,1.5246249862656331,0.015890808511468103,-0.06631577199862483,273.25470843946755,263.1208081786987,0.03851424876244063
2020,25,CANADA,CNP,1.0508139648504353,0.03454502936205689,0.06546576638275903,250.0919382000552,257.41211473352837,-0.028437575834575488
2020,36,CANADA,CNP,1.117406433512503,0.06206631135743755,0.08493018723771771,249.41314227040803,252.69867834390752,-0.01300179365808978
2021,45,CANADA,CNP,1.3766954250128605,0.06713510780869716,0.026961651051082697,243.9026269768422,231.65043250285365,0.05289087674739237
2021,29,CANADA,CNP,1.3252976713267004,0.16781309146064358,0.1466082767366695,253.28716682004296,249.8256388141174,0.013855775661604898
2019,14,CANADA,CNP,1.069550214450377,0.08244052472251857,0.1684771206330968,254.2699625872947,263.41171102053653,-0.034705170843862335
2022,17,CANADA,CNP,1.3573534331379662,0.0016300317326325732,-0.059713067901377356,248.07849258033994,246.37449946885215,0.006916272240679751
2021,20,CANADA,CNP,1.4175464966337494,0.1935726491664222,0.10126282345814593,273.7939743570119,252.3206892944578,0.08510314838865563
2020,48,CANADA,CNP,1.0358414297751413,0.049811696894547744,0.17690933965196318,209.3155845542609,235.8706934090108,-0.11258333314305437
2020,6,CANADA,CNP,0.9894034037119533,-0.07689596960986074,-0.04921013547913107,241.6765532719941,247.63394981278304,-0.02405726898631176
2020,3,CANADA,CNP,0.9385824438217628,0.09256206677565611,0.14254126025258368,217.80329356571195,229.1970485506904,-0.049711613029164034
2019,41,CANADA,CNP,1.0994812529732738,0.02237184496375617,0.0794709521500297,243.051970726236,260.3948698298171,-0.06660230716110369
2022,34,CANADA,CNP,1.4272804151275384,0.12247230521906557,0.04690641900702115,258.5382418744001,246.00667919098015,0.05093992864190264
2020,7,CANADA,CNP,0.9056675895074124,-0.05980177604930375,-0.07474728577417937,241.78713827310494,240.37097319391432,0.005891581085575411
2019,19,CANADA,CNP,1.1738960314436626,0.035843556594600076,0.08177239792137435,268.87376877322754,271.38681112409284,-0.009260001768163321
2023,41,CANADA,CNP,1.4820996007430014,0.0809481304149423,0.1246692913872976,241.78293387917662,251.38786466674358,-0.038207615153976866
2019,45,CANADA,CNP,1.1510184800051515,0.008884885867646035,0.11117376604862621,239.30340821313288,266.501054183832,-0.10205455304480052
2019,25,CANADA,CNP,1.0175101297460913,0.044988275332261414,0.11644739571481912,257.4121147335285,270.6757373762322,-0.04900188975662642
2020,12,CANADA,CNP,1.1115344623229577,0.06363871471794869,0.24397759924667067,220.6176166860977,255.94394766832409,-0.13802370129887
2021,3,CANADA,CNP,1.0788099453599247,0.143024157450905,0.038847570594849924,236.40742883568845,217.80329356571198,0.08541714390725473
2021,52,CANADA,CNP,1.24927787550492,-0.030132196891475574,-0.08405352243256449,258.9313192838853,243.71486036687514,0.06243549898477301
2019,12,CANADA,CNP,1.0520855484635396,0.03858650395063672,0.10289129666290424,255.94394766832409,264.24175388097404,-0.03140232794695895
2022,1,CANADA,CNP,1.416473487819697,0.1111224748228418,-0.027096678590347714,262.31080055847906,231.33664304999073,0.1338921370178047
2022,50,CANADA,CNP,1.4558774477743672,0.07559973096768675,0.07677866816842338,261.78174798069716,272.5324152141069,-0.03944729739749964
2022,30,CANADA,CNP,1.435688559692587,0.11440920825151883,0.05927840846404147,260.72708231258224,252.03696543485168,0.03447953304284979
