year,week_no,geo_zone,indexed_volume_current,yoy_vol_Growth,yoy_txn_Growth,ats_current,ATS_prior,ATS_YOY_Growth
2018,49,Calgary,1.060061631,0.009396738,0.08583643,68.80075383,75.42232892,-0.087793299
2018,49,Charlottetown,0.987100545,0.105249059,0.153972112,55.01965054,59.2347879,-0.071159829
2018,49,Edmonton,1.033163174,0.010963675,0.060136474,70.77941645,75.34405204,-0.060583888
2018,49,GreaterSudbury,1.008495235,0.195058174,0.173926444,66.40550139,66.97808642,-0.008548841
2018,49,Halifax,1.040445115,0.174469925,0.170270898,55.31884993,57.5314525,-0.038459008
2018,49,Hamilton,0.982120884,0.067651781,0.173606005,74.08574398,80.23198368,-0.076605855
2018,49,Iqaluit,0.959010564,0.324176111,0.262545086,81.77769244,82.67680787,-0.010875062
2018,49,Kelowna,0.993542178,0.00471386,0.068301953,68.24342955,71.73453225,-0.048666975
2018,49,Kitchener-Cambridge-Waterloo,1.058667302,0.165260081,0.128059518,83.04379034,83.21975519,-0.00211446
2018,49,London,1.011457841,0.185799976,0.208224241,65.985193,67.57800992,-0.023570048
2018,49,Moncton,0.966598585,0.064566967,0.05373838,57.55692535,50.38952002,0.14224
2018,49,Montreal,1.029773658,0.172712877,0.171417024,74.43703665,73.44868774,0.013456318
2018,49,Oshawa,0.983148977,0.032381807,0.13029382,57.56620432,63.05130464,-0.08699424
2018,49,"Ottawa-Gatineau, Ontario",1.062068143,0.211694208,0.159891192,106.837764,101.4751598,0.052846472
2018,49,"Ottawa-Gatineau, Quebec",0.973380084,0.010366378,0.090196803,61.55001338,77.32456096,-0.20400436
2018,49,QuebecCity,0.995010394,0.037010408,0.082685583,55.24293815,56.7755058,-0.026993465
2018,49,Regina,1.095602866,0.099332615,0.03747348,88.07635797,85.2639533,0.032984685
2018,49,Saskatoon,0.988255761,-0.013482166,0.023635068,70.51952862,74.03697514,-0.047509322
2018,49,Sherbrooke,1.010856975,0.175910698,0.166791028,56.82579571,56.06154161,0.013632413
2018,49,St.Catherine,1.026132166,0.001428202,0.091900527,56.79451841,61.84632331,-0.081683189
2018,49,StJohn,1.346504096,-0.011699622,0.09741884,62.69041807,69.51839771,-0.098218312
2018,49,Toronto,0.986089611,0.029383624,0.117863982,76.02922758,83.81534424,-0.092896077
2018,49,Vancouver,1.030747088,0.08756803,0.106337246,70.40954875,73.0769934,-0.036501839
